timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,representativeness,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,dsm_valid,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-10T18:33:17.315567,gpt-4.1,V001,299,deepseek-reasoner,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally well-written, providing a vivid, personal narrative that clearly illustrates the development and maintenance of PTSD following a traumatic event involving a child's medical crisis. All DSM-5 criteria for PTSD are explicitly present, as are key cognitive model features: ongoing sense of threat, negative appraisals, fragmented memory, maladaptive coping, and clear triggers. The clinical details are relevant and realistic, with no extraneous or confusing information. This is an exemplary case vignette for PTSD."
2026-05-10T18:33:20.597945,gpt-4.1,V002,403,gpt-5.4-mini,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally well-written, providing a vivid, personal narrative that captures the lived experience of PTSD following a combat trauma. All DSM-5 criteria for PTSD are clearly present, including trauma exposure, intrusive memories, avoidance, negative mood/cognitions, hyperarousal, and functional impairment. The narrative also illustrates key cognitive model features: ongoing sense of threat, negative appraisals, fragmented memory, maladaptive coping, and clear triggers. The story is both clinically accurate and emotionally resonant, with no irrelevant or confusing details."
2026-05-10T18:33:23.458525,gpt-4.1,V003,311,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally well-written, providing a vivid, detailed, and realistic account of PTSD following torture and political detention. All DSM-5 criteria for PTSD are clearly present, as are the key elements of Ehlers & Clark's cognitive model (current threat, negative appraisals, memory qualities, maladaptive strategies, and triggers). The narrative is personal and immersive, with explicit clinical details and no extraneous or confusing information. It is highly representative of complex PTSD presentations seen in clinical practice."
2026-05-10T18:33:27.481072,gpt-4.1,V004,403,deepseek-chat,zero_shot,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally well-written, providing a vivid, nuanced, and realistic portrayal of PTSD as seen in clinical practice. All DSM-5 criteria are clearly met, with explicit descriptions of trauma exposure, intrusive symptoms, avoidance, negative mood/cognitions, hyperarousal, and functional impairment. The narrative is rich in detail, grounded in clinical reality, and avoids irrelevant or confusing information. It also illustrates key cognitive model features: ongoing sense of threat, negative appraisals, trauma memory qualities, maladaptive coping, and clear triggers. There are no notable weaknesses; this is an exemplary case vignette."
2026-05-10T18:33:30.495045,gpt-4.1,V005,142,claude-sonnet-4-6,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally well-written, providing a vivid, personal narrative that is both clinically grounded and highly representative of PTSD as seen in practice. All relevant DSM-5 criteria are clearly met, with explicit descriptions of trauma exposure, intrusion, avoidance, negative mood/cognitions, hyperarousal, and functional impairment. The case also illustrates key cognitive model features: persistent sense of threat, maladaptive appraisals, memory qualities, coping strategies, and triggers. There is no extraneous or confusing information. Overall, this is an exemplary PTSD vignette."
2026-05-10T18:38:06.338293,gpt-4.1,V006,112,qwen2.5-32b,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally clear, detailed, and reads as a personal narrative rather than a checklist. It explicitly describes a traumatic event (hurricane), intrusion symptoms (vivid triggers, sensory memories), avoidance (avoiding workplace areas, not talking about the trauma), negative cognitions (distrust, isolation, not belonging), hyperarousal (reactivity to loud noises), and functional impairment (work performance, social withdrawal). It also includes elements of current threat, negative appraisals, fragmented memory, maladaptive coping, and clear triggers. The case is highly representative of PTSD as seen in clinical practice and is grounded in realistic clinical experience."
2026-05-10T18:38:09.044772,gpt-4.1,V007,142,gpt-5.4,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally well-written, providing a vivid, personal narrative that clearly illustrates the lived experience of PTSD following trauma exposure. All relevant DSM-5 criteria are present, including trauma exposure, intrusion, avoidance, negative mood/cognitions, hyperarousal, and functional impairment. The narrative also explicitly describes current threat, negative appraisals, maladaptive coping, trauma memory features, and clear triggers. The case is highly representative of PTSD as seen in clinical practice and avoids irrelevant or confusing details."
2026-05-10T18:38:11.688497,gpt-4.1,V008,112,gemini-2.5-flash,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally well-written, providing a vivid, personal narrative that clearly illustrates the lived experience of PTSD following a traumatic event (earthquake). All DSM-5 criteria are explicitly addressed, including trauma exposure, intrusive symptoms, avoidance, negative cognitions, hyperarousal, and functional impairment. The narrative also highlights key Ehlers & Clark model features: current threat, negative appraisals, fragmented memory, maladaptive coping, and specific triggers. The only minor weakness is the density of detail, but all information is relevant and enhances clinical realism."
2026-05-10T18:38:15.240865,gpt-4.1,V009,403,claude-haiku-4-5,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally well-written, providing a vivid, personal narrative that is both clear and highly representative of PTSD as seen in clinical practice. All DSM-5 criteria for PTSD are explicitly and realistically described, including trauma exposure, intrusive symptoms, avoidance, negative cognitions, hyperarousal, and functional impairment. The narrative also illustrates key cognitive model features: persistent sense of threat, negative appraisals, fragmented memory, maladaptive coping, and clear triggers. There is no extraneous or confusing information; every detail is relevant and contributes to a nuanced, grounded depiction of chronic PTSD."
2026-05-10T18:38:17.828731,gpt-4.1,V010,252,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,"This vignette is exceptionally well-written, providing a vivid, personal narrative that clearly illustrates the experience of PTSD following a traumatic event. All relevant DSM-5 criteria are present, including trauma exposure, intrusive and fragmented memories, avoidance, negative mood, hyperarousal, and functional impairment. The narrative also highlights cognitive themes such as negative appraisals, a sense of ongoing threat, and maladaptive coping strategies. The details are explicit, clinically relevant, and representative of real-world PTSD presentations."
